fecha,departamento
02/01/2010,ANTIOQUIA
02/01/2010,VALLE DEL CAUCA
02/01/2010,ANTIOQUIA
02/01/2010,CUNDINAMARCA
02/01/2010,VALLE DEL CAUCA
02/01/2010,BOGOTA D. C.
02/01/2010,CORDOBA
02/01/2010,VALLE DEL CAUCA
02/01/2010,ANTIOQUIA
02/01/2010,BOLIVAR
02/01/2010,HUILA
02/01/2010,VALLE DEL CAUCA
02/01/2010,CHOCO
02/01/2010,TOLIMA
02/01/2010,ANTIOQUIA
02/01/2010,VALLE DEL CAUCA
02/01/2010,CUNDINAMARCA
02/01/2010,VALLE DEL CAUCA
02/01/2010,TOLIMA
02/01/2010,BOGOTA D. C.
02/01/2010,VALLE DEL CAUCA
02/01/2010,QUINDIO
02/01/2010,ANTIOQUIA
02/01/2010,BOLIVAR
02/01/2010,ANTIOQUIA
02/01/2010,ANTIOQUIA
02/01/2010,ATLANTICO
02/01/2010,CALDAS
02/01/2010,RISARALDA
02/01/2010,ANTIOQUIA
02/01/2010,ANTIOQUIA
02/01/2010,ANTIOQUIA
02/01/2010,NORTE DE SANTANDER
02/01/2010,RISARALDA
02/01/2010,NORTE DE SANTANDER
02/01/2010,ANTIOQUIA
02/01/2010,ANTIOQUIA
02/01/2010,VALLE DEL CAUCA
02/01/2010,VALLE DEL CAUCA
02/01/2010,BOYACA
02/01/2010,CUNDINAMARCA
02/01/2010,SANTANDER
02/01/2010,VALLE DEL CAUCA
02/01/2010,ANTIOQUIA
02/01/2010,VALLE DEL CAUCA
02/01/2010,ANTIOQUIA
02/01/2010,VALLE DEL CAUCA
02/01/2010,ANTIOQUIA
02/01/2010,MAGDALENA
02/01/2010,VALLE DEL CAUCA
02/01/2010,VALLE DEL CAUCA
02/01/2010,VALLE DEL CAUCA
02/01/2010,ANTIOQUIA
02/01/2010,CUNDINAMARCA
02/01/2010,VALLE DEL CAUCA
02/01/2010,TOLIMA
02/01/2010,QUINDIO
02/01/2010,VALLE DEL CAUCA
02/01/2010,ANTIOQUIA
02/01/2010,MAGDALENA
02/01/2010,CALDAS
02/01/2010,TOLIMA
02/01/2010,ANTIOQUIA
02/01/2010,CORDOBA
02/01/2010,ANTIOQUIA
02/01/2010,VALLE DEL CAUCA
02/01/2010,ANTIOQUIA
02/01/2010,ANTIOQUIA
02/01/2010,ANTIOQUIA
02/01/2010,ATLANTICO
02/01/2010,VALLE DEL CAUCA
02/01/2010,ANTIOQUIA
02/01/2010,BOGOTA D. C.
02/01/2010,ANTIOQUIA
02/01/2010,ANTIOQUIA
02/01/2010,VALLE DEL CAUCA
02/01/2010,MAGDALENA
02/01/2010,ANTIOQUIA
02/01/2010,ANTIOQUIA
02/01/2010,ANTIOQUIA
02/01/2010,ANTIOQUIA
02/01/2010,ANTIOQUIA
02/01/2010,VALLE DEL CAUCA
02/01/2010,ANTIOQUIA
02/01/2010,ANTIOQUIA
02/01/2010,SANTANDER
02/01/2010,ANTIOQUIA
02/01/2010,BOGOTA D. C.
02/01/2010,VALLE DEL CAUCA
02/01/2010,ANTIOQUIA
02/01/2010,ANTIOQUIA
02/01/2010,BOGOTA D. C.
02/01/2010,CUNDINAMARCA
02/01/2010,BOGOTA D. C.
02/01/2010,VALLE DEL CAUCA
02/01/2010,CUNDINAMARCA
02/01/2010,VALLE DEL CAUCA
02/01/2010,BOGOTA D. C.
02/01/2010,ANTIOQUIA
02/01/2010,ANTIOQUIA
02/01/2010,ANTIOQUIA
